bom_stn_num,name,lat,long,state,location_types,forecast_site_classification,basin,agency,featreal,objectid
3008,Ellendale,-17.9281,124.8108,WA,"rain gauge;",data,Fitzroy River (Wa),Private owner,2024/10/10 00:00:00,8078
3009,Jubilee Downs,-18.3547,125.3033,WA,"rain gauge;",data,Fitzroy River (Wa),Private owner,2024/10/10 00:00:00,8079
3010,Kimberley Downs,-17.3927,124.3574,WA,"rain gauge;",data,Lennard River,Private owner,2024/10/10 00:00:00,8080
3017,Mount House Station,-17.0516,125.7051,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8081
3018,Myroodah,-18.1225,124.2692,WA,"rain gauge;",data,Fitzroy River (Wa),Private owner,2024/10/10 00:00:00,8082
3019,Napier Downs,-17.3305,124.8166,WA,"rain gauge;",data,Lennard River,Private owner,2024/10/10 00:00:00,8083
3020,Nerrima,-18.4922,124.3992,WA,"rain gauge;",data,Fitzroy River (Wa),Private owner,2024/10/10 00:00:00,8084
3022,Quanbun Downs,-18.3817,125.2267,WA,"rain gauge;",data,Fitzroy River (Wa),Private owner,2024/10/10 00:00:00,8085
3023,Roebuck Plains,-17.9315,122.4722,WA,"rain gauge;",data,Cape Leveque Coast,Private owner,2024/10/10 00:00:00,8086
3024,Udialla,-17.9464,123.7383,WA,"rain gauge;",data,Fitzroy River (Wa),Private owner,2024/10/10 00:00:00,8087
3026,Yeeda,-17.6153,123.6483,WA,"rain gauge;",data,Fitzroy River (Wa),Private owner,2024/10/10 00:00:00,8088
3027,Fossil Downs,-18.1386,125.7764,WA,"rain gauge;",data,Fitzroy River (Wa),Private owner,2024/10/10 00:00:00,8089
3028,Anna Plains,-19.2536,121.4861,WA,"rain gauge;",data,Sandy Desert,Private owner,2024/10/10 00:00:00,8090
3030,Bidyadanga,-18.6844,121.7803,WA,"rain gauge;",data,Sandy Desert,Private owner,2024/10/10 00:00:00,8091
3032,Derby Aero,-17.3706,123.6611,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8092
3033,Blina,-17.7472,124.5283,WA,"rain gauge;",data,Fitzroy River (Wa),Private owner,2024/10/10 00:00:00,8093
3040,Camballin,-17.9903,124.1922,WA,"rain gauge;",data,Fitzroy River (Wa),Private owner,2024/10/10 00:00:00,8094
3041,Kilto Station,-17.6924,122.7127,WA,"rain gauge;",data,Cape Leveque Coast,Private owner,2024/10/10 00:00:00,8095
3043,Christmas Creek Homestead,-18.8772,125.9207,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8096
3044,Brooking Springs,-18.1103,125.6431,WA,"rain gauge;",data,Fitzroy River (Wa),Private owner,2024/10/10 00:00:00,8097
3051,Mount Barnett,-16.7372,125.9086,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8098
3052,Mount Hart Station,-16.8214,124.9151,WA,"rain gauge;",data,Lennard River,Private owner,2024/10/10 00:00:00,8099
3056,Thangoo,-18.1792,122.3583,WA,"rain gauge;",data,Cape Leveque Coast,Bureau of meteorology,2024/10/10 00:00:00,8100
3057,Cygnet Bay,-16.4513,123.0087,WA,"rain gauge;",data,Cape Leveque Coast,Private owner,2024/10/10 00:00:00,8101
3059,Nita Downs,-19.0861,121.6764,WA,"rain gauge;",data,Sandy Desert,Private owner,2024/10/10 00:00:00,8102
3063,Charnley River,-16.7164,125.46,WA,"rain gauge;",data,Isdell River,Private owner,2024/10/10 00:00:00,8103
3068,Dampier Downs,-18.5077,123.4561,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8104
3075,Derby Main Roads,-17.3136,123.6497,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of meteorology,2024/10/10 00:00:00,8105
3079,Shelamar,-18.9897,121.7208,WA,"rain gauge;",data,Sandy Desert,Private owner,2024/10/10 00:00:00,8106
3080,Curtin Aero,-17.5768,123.8297,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8107
3086,Willare Bridge,-17.7278,123.6547,WA,"rain gauge;",data,Fitzroy River (Wa),Private owner,2024/10/10 00:00:00,8108
3088,Larrawa,-18.8375,126.5247,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8109
3090,Debesa,-17.7981,124.0772,WA,"rain gauge;",data,Fitzroy River (Wa),Private owner,2024/10/10 00:00:00,8110
3093,Fitzroy Crossing Aero,-18.1814,125.5619,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8111
3094,Windjana Gorge,-17.4211,124.9246,WA,"rain gauge;",data,Lennard River,Bureau of Meteorology,2024/10/10 00:00:00,8112
3098,Mount House Airstrip,-17.0535,125.712,WA,"rain gauge;",data,Fitzroy River (Wa),Bureau of Meteorology,2024/10/10 00:00:00,8113
