bom_stn_num,name,lat,long,state,location_types,forecast_site_classification,basin,agency,featreal,objectid,URL
41522,Dalby Airport,-27.1605,151.2633,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10202,
41525,Warwick,-28.2061,152.1003,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10203,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
41529,Toowoomba Airport,-27.5425,151.9134,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10204,
41530,Yangan Alert,-28.2006,152.2156,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,10205,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
41531,Glengallan Creek Alert,-28.1167,152.0642,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,10206,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
41532,Connolly Dam Alert,-28.3558,151.9967,qld,rain gauge;water level gauge;reservoir;model point;,information,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,10207,
41533,Emu Vale Alert,-28.2292,152.2269,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,10208,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
41534,Warwick Alert,-28.2111,152.0275,qld,rain gauge;water level gauge;model point;,official,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,10209,
41535,Elbow Valley Alert,-28.3731,152.14,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,10210,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
41536,Murrays Bridge Alert,-28.2883,152.1053,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,10211,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
41537,Killarney Alert,-28.3394,152.2944,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,10212,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
41540,Beardy Junction,-29.1694,151.3414,qld,rain gauge;water level gauge;model point;,information,Border Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10213,
41545,Dunmore Exchange Tm,-27.6539,150.9136,qld,rain gauge;,data,Border Rivers,Goondiwindi Regional Council,2024/10/10 00:00:00,10214,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
41546,Avoca Tm,-27.9803,150.515,qld,rain gauge;,data,Border Rivers,Goondiwindi Regional Council,2024/10/10 00:00:00,10215,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
41547,Wallangarra Tm,-28.9236,151.9289,qld,rain gauge;,data,Border Rivers,Goondiwindi Regional Council,2024/10/10 00:00:00,10216,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
41548,Texas Tm,-28.8675,151.1611,qld,rain gauge;water level gauge;model point;,official,Border Rivers,Goondiwindi Regional Council,2024/10/10 00:00:00,10217,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
41551,Belgrae Park Alert,-26.9669,151.4847,qld,rain gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,10218,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
42004,Possum Park,-26.5047,150.0992,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10219,
42016,Hannaford Post Office,-27.341,150.0621,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10220,
42022,Meandarra Post Office,-27.3236,149.8828,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10221,
42023,Miles Post Office,-26.6581,150.1844,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10222,
42025,Horse Creek Al,-26.5519,150.6322,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10223,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
42027,Talwood State School,-28.4872,149.4699,qld,rain gauge;,data,Border Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10224,
42036,Bawnduggie Al,-26.16,150.8392,qld,rain gauge;,data,Burnett River,Bureau of Meteorology,2024/10/10 00:00:00,10225,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60338.html
42048,Condamine,-26.9269,150.1419,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10226,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
42050,Remilton,-28.0644,149.6547,qld,rain gauge;,data,Moonie River,Bureau of Meteorology,2024/10/10 00:00:00,10228,
42053,Flinton,-27.8945,149.5596,qld,rain gauge;water level gauge;model point;,official,Moonie River,Bureau of Meteorology,2024/10/10 00:00:00,10229,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
42055,Riverview,-28.61,149.8242,qld,rain gauge;water level gauge;model point;,information,Border Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10230,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60336.html
42059,Auburn,-25.9525,150.6142,qld,rain gauge;water level gauge;model point;,information,Burnett River,Bureau of Meteorology,2024/10/10 00:00:00,10231,
42075,Bawnduggie,-26.1597,150.8389,qld,rain gauge;,data,Burnett River,Bureau of Meteorology,2024/10/10 00:00:00,10233,
42087,Goodar Station,-28.2444,150.1117,qld,rain gauge;,data,Border Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10234,
42097,Hartmann Bridge Tm,-28.3706,149.8811,qld,rain gauge;water level gauge;model point;,information,Border Rivers,Goondiwindi Regional Council,2024/10/10 00:00:00,10235,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
42100,Southwood,-27.7657,150.0684,qld,rain gauge;water level gauge;model point;,information,Moonie River,Bureau of Meteorology,2024/10/10 00:00:00,10237,
42102,Ripple Downs Al,-27.9364,150.1425,qld,rain gauge;,data,Border Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10238,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
42104,Surrey Tm,-28.3839,149.6747,qld,rain gauge;water level gauge;model point;,information,Border Rivers,Goondiwindi Regional Council,2024/10/10 00:00:00,10239,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
42105,Nindigully Tm,-28.4167,148.8333,qld,rain gauge;water level gauge;model point;,information,Moonie River,"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,10240,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
42106,Fenton Tm,-28.9417,148.74,qld,rain gauge;water level gauge;model point;,information,Moonie River,"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,10241,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
42110,Leichhardt Highway,-27.1417,150.1458,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10244,
42111,Kinkora,-27.8344,149.6804,qld,rain gauge;water level gauge;,information,Moonie River,Bureau of Meteorology,2024/10/10 00:00:00,10245,
42112,Miles Constance Street,-26.6569,150.1819,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10246,
42113,Pine Hill Crossing,-26.9087,149.9874,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10247,
42115,Lundavra Tm,-28.0697,149.9794,qld,rain gauge;,data,Border Rivers,Goondiwindi Regional Council,2024/10/10 00:00:00,10248,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
42116,Arden Downs Tm,-28.23,149.5617,qld,rain gauge;,data,Border Rivers,Goondiwindi Regional Council,2024/10/10 00:00:00,10249,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
42118,Caithness - Westmar,-27.8117,149.6536,qld,rain gauge;,data,Moonie River,Bureau of Meteorology,2024/10/10 00:00:00,10250,
42119,Palmerston,-27.5353,149.4089,qld,rain gauge;,data,Moonie River,Bureau of Meteorology,2024/10/10 00:00:00,10251,
43000,Amby,-26.5478,148.185,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10252,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
43006,Mooga Hills Tm,-26.2544,148.9453,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10253,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
43008,Springdale Tm,-26.1683,148.6644,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10254,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
43009,Forest Vale,-25.9281,147.8717,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10255,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
43015,Injune Post Office,-25.8428,148.5669,qld,rain gauge;,data,Fitzroy River (Qld),Bureau of Meteorology,2024/10/10 00:00:00,10256,
43020,Mitchell Post Office,-26.4888,147.9777,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10257,
43026,Normandy,-26.7694,148.3558,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10258,
43033,Tindarra Tm,-26.4689,148.8047,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Maranoa Regional Council,2024/10/10 00:00:00,10259,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
43035,Surat,-27.1591,149.0702,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10260,
43038,Wallumbilla Post Office,-26.585,149.1865,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10261,
43041,Qld Cotton,-28.1433,148.7092,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10262,
43043,Yuleba Garden St,-26.6133,149.3878,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10263,
43045,Warrie Station,-28.0949,148.9736,qld,rain gauge;water level gauge;,information,Moonie River,Bureau of Meteorology,2024/10/10 00:00:00,10264,
43051,Pine Hills Tm,-26.2625,149.2389,qld,rain gauge;,data,Fitzroy River (Qld),Bureau of Meteorology,2024/10/10 00:00:00,10265,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60339.html
43052,Warkon,-27.0167,149.4819,qld,rain gauge;water level gauge;model point;,official,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10266,
43053,St George (Hutt St),-28.0533,148.5633,qld,rain gauge;water level gauge;model point;,official,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10267,
43054,Injune Tm,-25.8428,148.5669,qld,rain gauge;,data,Fitzroy River (Qld),Bureau of Meteorology,2024/10/10 00:00:00,10268,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60339.html
43060,Havelock,-26.0756,147.9044,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10269,
43075,Munnaweena,-25.8,147.95,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10273,
43077,Garrabarra,-26.9472,149.0136,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10274,
43080,Karoola Park,-27.2269,148.7406,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10275,
43090,Beardmore Dam,-27.9067,148.6514,qld,rain gauge;water level gauge;reservoir;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10276,
43091,Roma Airport,-26.5477,148.771,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10277,
43095,Namarah,-27.3867,149.3877,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10278,
43097,Teelba,-27.7641,149.3979,qld,rain gauge;water level gauge;model point;,information,Moonie River,Bureau of Meteorology,2024/10/10 00:00:00,10279,
43099,Springfield,-26.8227,148.0216,qld,rain gauge;water level gauge;model point;,official,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10280,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60338.html
43100,Old Cashmere Tm,-27.7333,148.4667,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,10281,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
43101,Weribone Tm,-27.3117,148.8267,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,10282,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
43102,Mitchell Tm,-26.49,147.9792,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,10283,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
43105,Tabers Tm,-26.4083,148.7833,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,10286,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
43107,Warroo,-27.645,148.7411,qld,rain gauge;water level gauge;model point;,official,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10287,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
43108,Bendoba Tm,-25.96,148.3867,qld,rain gauge;,data,Fitzroy River (Qld),Bureau of Meteorology,2024/10/10 00:00:00,10288,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60339.html
43109,St George Airport,-28.0478,148.5957,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10289,
43112,Dalmally,-26.7997,148.5989,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10291,
44001,Angellala Downs Homestead,-26.0178,147.03,qld,rain gauge;,data,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10292,
44002,Augathella Post Office,-25.7956,146.5858,qld,rain gauge;,data,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10293,
44006,Biddenham,-25.8031,146.425,qld,rain gauge;water level gauge;,data,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10294,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60344.html
44010,Bollon Mary St,-28.0316,147.4815,qld,rain gauge;water level gauge;model point;,official,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10295,
44013,Boothulla,-26.3833,145.2167,qld,rain gauge;,data,Paroo River,Bureau of Meteorology,2024/10/10 00:00:00,10296,
44021,Charleville Aero,-26.4139,146.2558,qld,rain gauge;,data,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10297,
44026,Cunnamulla Post Office,-28.0689,145.6822,qld,rain gauge;,data,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10298,
44029,Dillalah,-26.8583,146.0278,qld,rain gauge;,data,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10299,
44031,Dynevor Downs,-28.0911,144.3586,qld,rain gauge;,data,Bulloo River,Bureau of Meteorology,2024/10/10 00:00:00,10300,
44038,Glenorie,-27.02,147.1536,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10301,
44042,Hebel Store,-28.9723,147.796,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10302,
44044,Ivanhoe Downs,-26.3453,147.1258,qld,rain gauge;,data,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10303,
44045,Kenilworth,-27.4133,147.4314,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10304,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60337.html
44050,Morven Post Office,-26.4156,147.1131,qld,rain gauge;,data,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10305,
44052,Mount Morris,-25.8128,145.5731,qld,rain gauge;water level gauge;model point;,information,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10306,
44054,Mulga Downs,-28.8056,147.1199,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10307,
44056,Mungallala,-26.4453,147.5407,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10308,
44057,Nive Downs,-25.4992,146.5442,qld,rain gauge;,data,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10309,
44068,Tomoo,-27.0928,147.3661,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10310,
44070,Victoria Downs,-26.375,147.0394,qld,rain gauge;,data,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10311,
44075,Woodlands,-27.2671,148.0797,qld,rain gauge;water level gauge;model point;,official,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10312,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60340.html
44111,Wansey Downs,-25.8517,146.1894,qld,rain gauge;,data,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10314,
44117,Dirranbandi,-28.5855,148.2284,qld,rain gauge;water level gauge;model point;,official,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10316,
44123,South Plains,-28.3844,146.7483,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10318,
44127,Ashling,-27.3878,147.2858,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10319,
44130,Bendena,-27.8503,146.8789,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10320,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60346.html
44131,Deelamon,-27.5428,147.3036,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10321,
44133,Bogarella,-25.375,147.1072,qld,rain gauge;,data,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10322,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60344.html
44137,Rosehill,-27.8717,148.0344,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10323,
44138,Warida,-26.3567,147.405,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10324,
44143,Heather  Station,-28.0781,147.3981,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10325,
44144,Homeboin,-27.6267,147.4453,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10326,
44150,Kahmoo,-28.0964,145.5075,qld,rain gauge;,data,Paroo River,Bureau of Meteorology,2024/10/10 00:00:00,10327,
44152,Dingwall,-27.4633,146.8519,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10328,
44153,Eulo,-28.1604,145.0463,qld,rain gauge;water level gauge;model point;,official,Paroo River,Bureau of Meteorology,2024/10/10 00:00:00,10329,
44154,Whyenbah,-28.3875,148.3111,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,10330,
44157,Murweh,-27.0028,145.9433,qld,rain gauge;water level gauge;model point;,information,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10333,
44168,Bayrick,-25.4636,146.0272,qld,rain gauge;,data,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10335,
44174,Wallen,-27.62,145.8281,qld,rain gauge;water level gauge;model point;,information,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10336,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60335.html
44181,Hungerford (Paroo River),-28.9972,144.4094,qld,rain gauge;water level gauge;model point;,official,Paroo River,Bureau of Meteorology,2024/10/10 00:00:00,10337,
44188,Authoringa,-26.6658,146.6083,qld,rain gauge;water level gauge;model point;,information,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10338,
44189,Bakers Bend,-26.7042,146.1094,qld,rain gauge;water level gauge;,official,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10339,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60344.html
44190,Lochinvar,-25.4697,146.8431,qld,rain gauge;water level gauge;model point;,information,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10340,
44191,Allambie,-26.9353,145.4408,qld,rain gauge;water level gauge;model point;,information,Paroo River,Bureau of Meteorology,2024/10/10 00:00:00,10341,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDN60159.html
44194,Nindigully,-28.3547,148.8205,qld,rain gauge;water level gauge;model point;,official,Moonie River,Bureau of Meteorology,2024/10/10 00:00:00,10343,
44199,Wetlands,-25.5981,147.1289,qld,rain gauge;water level gauge;model point;,information,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10345,
44208,Warilda,-26.1394,145.6639,qld,rain gauge;water level gauge;model point;,information,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10346,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60344.html
44209,Oakpark,-26.0581,146.1308,qld,rain gauge;water level gauge;model point;,information,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10347,
44210,Rocky,-28.4264,145.735,qld,rain gauge;water level gauge;model point;,official,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10348,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60344.html
44211,Chesterton Tm,-25.3353,147.3,qld,rain gauge;,data,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10349,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60344.html
44212,Dunvegan Tm,-26.1236,146.6228,qld,rain gauge;,data,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10350,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60344.html
44223,Derbyshire Downs,-25.4536,147.3031,qld,rain gauge;,data,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10351,
44228,Balmacarra,-25.478,146.0502,qld,rain gauge;,data,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10353,
44229,Charleville Al,-26.4025,146.2378,qld,rain gauge;water level gauge;model point;,official,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10354,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60344.html
44230,Binnowee Al,-26.4842,146.0861,qld,rain gauge;water level gauge;model point;,information,Warrego River,Murweh Shire Council,2024/10/10 00:00:00,10355,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60344.html
44231,Myendetta Al,-26.5458,146.0167,qld,rain gauge;,data,Warrego River,Murweh Shire Council,2024/10/10 00:00:00,10356,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60344.html
44232,The 27 Mile Garden Al,-26.0808,146.4172,qld,rain gauge;water level gauge;model point;,information,Warrego River,Murweh Shire Council,2024/10/10 00:00:00,10357,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60344.html
44233,Bakers Bend Al,-26.7053,146.1089,qld,rain gauge;water level gauge;,information,Warrego River,Bureau of Meteorology,2024/10/10 00:00:00,10358,
44234,Barradeen Al,-26.0419,146.4292,qld,rain gauge;,data,Warrego River,Murweh Shire Council,2024/10/10 00:00:00,10359,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60344.html
45002,Bulloo Downs,-28.5267,142.9614,qld,rain gauge;,data,Bulloo River,Bureau of Meteorology,2024/10/10 00:00:00,10361,
45003,South Comongin,-26.9011,144.3386,qld,rain gauge;water level gauge;model point;,information,Bulloo River,Bureau of Meteorology,2024/10/10 00:00:00,10362,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60344.html
45005,Durham Downs,-27.0797,141.9078,qld,rain gauge;water level gauge;model point;,information,Cooper Creek,Bureau of Meteorology,2024/10/10 00:00:00,10363,
45006,Eromanga - Webber St,-26.6694,143.27,qld,rain gauge;,data,Cooper Creek,Bureau of Meteorology,2024/10/10 00:00:00,10364,
45009,Ballera Gas Field,-27.4008,141.8114,qld,rain gauge;,data,Cooper Creek,Bureau of Meteorology,2024/10/10 00:00:00,10365,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60345.html
45010,Mt Howitt,-26.5122,142.2731,qld,rain gauge;,data,Cooper Creek,Bureau of Meteorology,2024/10/10 00:00:00,10366,
45011,Mount Margaret,-26.8989,143.3381,qld,rain gauge;,data,Cooper Creek,Bureau of Meteorology,2024/10/10 00:00:00,10367,
45012,Nappa Merrie,-27.5964,141.1069,qld,rain gauge;water level gauge;,data,Cooper Creek,Bureau of Meteorology,2024/10/10 00:00:00,10368,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60345.html
45015,Quilpie Airport,-26.6125,144.2578,qld,rain gauge;,data,Bulloo River,Bureau of Meteorology,2024/10/10 00:00:00,10369,
45018,Thylungra Station,-26.0853,143.4483,qld,rain gauge;,data,Cooper Creek,Bureau of Meteorology,2024/10/10 00:00:00,10370,
45022,Whynot Station,-26.6911,143.9047,qld,rain gauge;,data,Cooper Creek,Bureau of Meteorology,2024/10/10 00:00:00,10371,
45024,Nockatunga Station,-27.7217,142.7131,qld,rain gauge;,data,Cooper Creek,Bureau of Meteorology,2024/10/10 00:00:00,10372,
45025,Thargomindah Airport,-27.9867,143.815,qld,rain gauge;,data,Bulloo River,Bureau of Meteorology,2024/10/10 00:00:00,10373,
45026,Woomanooka,-27.2506,142.1292,qld,rain gauge;,data,Cooper Creek,Bureau of Meteorology,2024/10/10 00:00:00,10374,
45029,Orientos Station,-28.0722,141.5317,qld,rain gauge;,data,Cooper Creek,Bureau of Meteorology,2024/10/10 00:00:00,10375,
