OBJECTID,LOCATION_NAME,LOCATION_ID,DATA_AVAILABLE_BETWEEN,LATITUDE,LONGITUDE,DEPTH,README,DOWNLOAD_METADATA,LIVE_WAVE,DOWNLOAD_DATA,LICENCE,PRODUCTION_DATE,STATUS,LIVEGIF_DIRPRD,LIVEGIF_DIR,LIVEGIF_HS
17,Albany 03,ALB44A,25/07/2001 and 26/08/2001,-35.061653  (GDA2020),117.981677  (GDA2020),NA,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/ALB44A_Metadata.zip,,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/ALB44A_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
18,Cockburn,OAM53,26/02/2008 and 07/10/2014,-32.107765  (GDA2020),115.691678  (GDA2020),14m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/OAM53_Metadata.zip,,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/OAM53_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
19,Esperance 03,ESP49,17/02/2005 and 31/12/2005,-33.840542  (GDA2020),121.932788  (GDA2020),12m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/ESP49_Metadata.zip,,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/ESP49_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
20,Bunbury 02,BUN08,19/04/1977 and 22/12/1981,-33.29832  (GDA2020),115.617789  (GDA2020),16m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/BUN08_Metadata.zip,,,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
21,Coral Bay,COR48,22/12/2004 and 30/03/2005,-23.174308  (GDA2020),113.744177  (GDA2020),20m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/COR48_Metadata.zip,,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/COR48_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
22,Geraldton 57,GER57,23/03/2023 and 31/12/2023,-28.916387  (GDA2020),114.383344 (GDA2020),40m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3.ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/GER57_Metadata.zip,https://www.transport.wa.gov.au/imarine/geraldton-wave-data.asp,https://s3.ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/GER57_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Current,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/GOW_POLD.GIF,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/GOW_WDIR.gif,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/GOW_Wave.gif
23,Rottnest Island 01,ROT33,17/08/1999 and 31/12/2004,-32.111376  (GDA2020),115.401955  (GDA2020),48m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/ROT33_Metadata.zip,,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/ROT33_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
24,Esperance 01,ESP11,21/02/1980 and 04/03/1981,-33.840542  (GDA2020),121.932788  (GDA2020),12m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/ESP11_Metadata.zip,,,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
25,Cape Naturaliste 02,NAT46,28/04/2004 and 31/12/2023,-33.525587  (GDA2020),114.772211 (GDA2020),50m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/NAT46_Metadata.zip,http://www.transport.wa.gov.au/imarine/naturaliste-tide-and-wave.asp,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/NAT46_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Current,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/DWN_POLD.gif,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/DWN_WDIR.gif,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/DWN_Wave.gif
26,Ningaloo,NIN27,12/08/1987 and 01/10/1988,-22.562487  (GDA2020),113.65001  (GDA2020),47m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/NIN27_Metadata.zip,,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/NIN27_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
